,2022,name,Tuition,Enrollment Numbers
188,187,robert morris university,32770,3312
189,187,saint john fisher college,36352,2692
190,187,union university,35660,2096
191,187,university of detroit mercy,30154,2633
192,187,university of louisville,28508,15927
193,187,university of north carolina wilmington,21303,14650
194,187,university of saint joseph,42934,898
195,196,biola university,44382,3682
196,196,indiana university purdue university indianapolis,32101,20966
197,196,mississippi state university,24900,18803
198,196,towson university,22532,18730
199,196,university of new mexico,24924,16124
200,196,university of wyoming,20647,9342
201,202,ball state university,27406,15780
202,202,bellarmine university,44520,2484
203,202,bethel university of saint paul mn,40080,2710
204,202,florida a&m university,17725,7402
205,202,florida institute of technology,43246,3475
206,202,hampton university,29287,3063
207,202,illinois state university,26281,17987
208,202,loyola university new orleans,43498,3219
209,202,maryville university of saint louis,27166,5504
210,202,misericordia university,35940,1845
211,202,sacred heart university,45230,6417
212,213,california state university fresno,12789,22611
213,213,east carolina university,23593,23056
214,213,george fox university,38520,2481
215,213,kent state university,20800,21621
216,213,lipscomb university,35752,2997
217,213,nova southeastern university,34570,6314
218,213,pace university,48830,7994
219,213,texas tech university,24092,33269
220,213,touro college,20750,5520
221,213,university of hartford,44885,4521
222,213,university of maine,33586,9465
223,213,western new england university,40380,2552
224,213,widener university,49706,2912
225,213,wilkes university,39914,2243
226,227,gannon university,34526,3208
227,227,immaculata university,27750,1614
228,227,new mexico state university,25666,11575
229,227,regis university,39610,3197
230,227,russell sage college,33894,1287
231,227,seattle pacific university,35646,2702
232,227,saint catherine university,46494,2983
233,227,university of colorado denver,32820,14995
234,227,university of massachusetts boston,35139,12871
235,227,university of massachusetts dartmouth,30153,6027
236,227,university of nevada reno,24680,16852
237,227,university of north carolina charlotte,20542,24175
238,239,central michigan university,13538,13048
239,239,clarke university,36870,659
240,239,college of saint scholastica,39410,2244
241,239,edgewood college,31700,1407
242,239,georgia state university,30114,28772
243,239,oklahoma city university,32744,1526
244,239,university of north carolina greensboro,22564,15995
245,239,university of indianapolis,33520,4168
246,239,university of missouri saint louis,30570,10977
247,239,university of south dakota,12942,7103
248,249,bowling green state university,19000,14988
249,249,harding university,22470,3574
250,249,lesley university,29450,2128
251,249,lincoln memorial university,24210,1817
252,249,sam houston state university,23274,18790
253,249,university of memphis,16764,17383
254,249,university of missouri kansas city,28026,11036
255,249,university of nevada las vegas,25977,25862
256,249,university of new england,39820,4065
257,249,university of north dakota,15067,9796
258,249,university of saint francis,35000,1627
259,249,utah state university,23434,24647
260,249,wayne state university,32727,17513
261,249,west virginia university,25320,21086
262,263,azusa pacific university,41410,4498
263,263,baker university,31600,1149
264,263,delaware state university,17294,4131
265,263,inter american university of puerto rico san german,6012,3143
266,263,montana state university,26950,14240
267,263,old dominion university,31680,19622
268,263,shenandoah university,34490,2267
269,263,southern illinois university carbondale,15240,8299
270,263,university of alabama huntsville,23734,8027
271,263,university of findlay,36720,3732
272,263,university of nebraska omaha,21718,12768
