,2022,name,Tuition,Enrollment Numbers,super_opeid,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
10,9,duke university,60489,6717,2920.0,2.0,1.0,Ivy Plus,1.0,3.0,NC,1701.0,Raleigh,37063.0,Durham,0.0,1500.0,0.48711112,0.6006999,0.016026281,0.0042524287,517631.58689583297,196000.0,0.830458482397927,0.03180375,0.051623410999999994,0.074047938,0.12539901,0.71712601,0.59894389,0.47915623,0.19215614,0.031923793,0.78762174,139638.250368056,87500.0,95300.0,0.078051731,0.083236635,0.060089286,0.061073333,0.11130401,0.68429685,0.55437225,0.43752769,0.20383582,0.66924554,0.72758186,0.77028579,0.76794749,0.80242389,0.17200528,0.12075927,0.092650563,0.11067318,0.50391167,0.12908387,0.091899753,0.062479232,0.10598765,0.61054951,0.075923651,0.07107529,0.07036227,0.14097512,0.64166361,0.09091682699999999,0.055934973,0.070794545,0.13620916,0.64614445,0.075411573,0.054700762,0.056912672000000004,0.10429595,0.70867902,0.13370839999999998,0.14526512,0.17624387,0.16514547,0.22077672,0.53049475,0.44822460000000003,0.53148592,0.54439157,0.63178253,0.0,0.0
11,9,california institute of technology,58680,901,1131.0,2.0,2.0,Other elite schools (public and private),1.0,4.0,CA,38300.0,Los Angeles,6037.0,Los Angeles,0.0,190.666666666667,0.33216783,0.5417853,0.031777687,0.0072321603,185591.134833916,124500.0,0.746004221322653,0.048102688,0.08135833599999999,0.1054583,0.19690256,0.56817818,0.37733811,0.22134013,0.043595592999999995,0.0033818402,0.77411675,119502.54549552,83000.0,89700.0,0.077375874,0.084309585,0.065216728,0.059257902,0.12356792,0.6676479000000001,0.52330178,0.38444558,0.14079767,0.72567475,0.73882216,0.72963667,0.79046774,0.78586113,0.10170787,0.051909026,0.11938408,0.06637717,0.66062188,0.11925805,0.073347181,0.056866075999999995,0.13048527,0.62004346,0.13459277,0.046675466,0.07182724,0.12884572,0.6180588,0.071654618,0.066123769,0.065720588,0.11852221,0.67797881,0.072884925,0.068306223,0.049937407999999996,0.12818822,0.6806831999999999,0.15034837,0.08516471800000001,0.080236346,0.12203527,0.16569804,0.45896626,0.38646883,0.51886344,0.54618073,0.57376802,0.0,0.0
12,13,dartmouth college,60870,4170,2573.0,2.0,1.0,Ivy Plus,1.0,1.0,NH,20302.0,Claremont,33009.0,Grafton,0.0,996.0,0.48192772,0.5692295999999999,0.013762614,0.0036311145,469593.628953313,185500.0,0.831228553690266,0.027713936,0.051006420999999996,0.081291251,0.12927108,0.71071732,0.58701611,0.4569706,0.17733659,0.025214911,0.76683617,130760.10092453199,76600.0,84200.0,0.07018750900000001,0.07594108599999999,0.076101258,0.077660605,0.13701984,0.63327718,0.49740538,0.39081025,0.17672077,0.73254848,0.73478407,0.74758589,0.73702294,0.77809799,0.10061642,0.097815476,0.11850248,0.18647023,0.49659541,0.09082572900000001,0.10062549,0.072482012,0.18821004,0.54785669,0.08309470099999999,0.09045168,0.067929767,0.16536336,0.59316051,0.079098843,0.07444430099999999,0.10803650000000001,0.18167773,0.55674261,0.07251808,0.072154485,0.072027653,0.12005312,0.66324663,0.13102125,0.1258751,0.16583438,0.14090124,0.18991219,0.45072538,0.44477799999999995,0.50864273,0.56333363,0.59078443,0.0,0.0
13,14,brown university,62404,6792,3401.0,2.0,1.0,Ivy Plus,1.0,1.0,RI,20401.0,Providence,44007.0,Providence,0.0,1314.6666666666702,0.5372718000000001,0.53014421,0.015486851999999999,0.0020264117000000003,542890.808474899,197000.0,0.8358310583608629,0.029180808,0.042766131,0.070927814,0.12094032,0.73618495,0.62202811,0.4801276,0.18865089,0.031548195,0.73642915,106812.805376838,66900.0,73800.0,0.08557798,0.091435,0.08825525599999999,0.08512982699999999,0.14585629,0.58932364,0.43395707,0.31550881,0.13741633,0.73405719,0.7257883,0.71238077,0.74321991,0.73834264,0.11756974,0.067711875,0.092710406,0.19128755,0.53072047,0.098795496,0.084669299,0.089191571,0.17749153,0.54985213,0.11475868,0.06914993400000001,0.12108674,0.14982739,0.54517722,0.07957679,0.095098145,0.076338083,0.14927511,0.59971189,0.089672424,0.089994416,0.082573429,0.1412735,0.59648615,0.0694433,0.13064334,0.12165485,0.13916332,0.14173564,0.42620111,0.50188857,0.4599652,0.51076233,0.54585117,0.0,0.0
14,14,vanderbilt university,56966,7057,3535.0,2.0,2.0,Other elite schools (public and private),1.0,3.0,TN,5600.0,Nashville,47037.0,Davidson,0.0,1458.0,0.53726566,0.63889211,0.014718471,0.0032208243,535431.061571216,197900.0,0.830050508235762,0.024821995,0.051126383,0.093465075,0.12394075,0.70664579,0.60000283,0.48275676,0.21908806,0.029290847000000002,0.74373597,97621.9306270005,72800.0,79200.0,0.09436205,0.10259589999999999,0.073358491,0.072832748,0.13785817,0.61335468,0.4715246,0.33388224,0.12227267,0.74280268,0.74688798,0.73218298,0.72004312,0.74922436,0.09267441900000001,0.078130692,0.098720655,0.13751341,0.59296083,0.06927634,0.062924542,0.1035518,0.18708667,0.57716066,0.088571519,0.07453001299999999,0.087511487,0.18979074,0.55959624,0.10604105,0.07561133099999999,0.089092448,0.15193485,0.57732034,0.1066058,0.073395677,0.064907514,0.12497069999999999,0.63012028,0.12975687,0.09740284800000001,0.07687211,0.088676572,0.13570659,0.49409592,0.58815771,0.58350891,0.61773264,0.65868551,0.0,0.0
15,14,washington university in saint louis,58866,7653,2520.0,2.0,2.0,Other elite schools (public and private),1.0,2.0,MO,24701.0,St. Louis,29189.0,St Louis,0.0,1405.66666666667,0.52833766,0.58425957,0.01037176,0.00096048356,370117.29578195396,180200.0,0.836313980957725,0.019383473000000002,0.04163336,0.076337673,0.1415039,0.72114164,0.58469874,0.4396683,0.14692436,0.016340299,0.7482986999999999,97349.7967768111,67500.0,73200.0,0.073940538,0.078987285,0.074794754,0.085015446,0.15815389,0.60304868,0.43451115,0.30918789,0.10311408,0.72398651,0.68198067,0.74286324,0.74001944,0.7549808000000001,0.073904522,0.09442845,0.07664708,0.21993734,0.53508264,0.13041832,0.11494371,0.069153868,0.16145836,0.5240258,0.082857855,0.071297906,0.098411568,0.15605423,0.59137845,0.067020066,0.08402536099999999,0.11954492,0.16608165,0.56332797,0.078093156,0.070508033,0.077962592,0.1549691,0.61846715,0.049551673,0.08584015800000001,0.096646205,0.090409234,0.10872868,0.43167129,0.53195286,0.50865799,0.57360572,0.60147423,0.0,0.0
16,17,cornell university,61015,14743,2711.0,2.0,1.0,Ivy Plus,1.0,1.0,NY,18100.0,Elmira,36109.0,Tompkins,0.0,3074.0,0.48373455,0.5826292,0.029070236,0.0050723562,279239.971155932,143300.0,0.769540584364002,0.048977412000000005,0.072817601,0.10707949,0.15052344,0.62060207,0.47702715,0.32325426,0.091139019,0.011417026,0.77441031,117283.22294004801,79800.0,86300.0,0.076642796,0.081705868,0.064108483,0.07126745599999999,0.11812582,0.66479242,0.51522827,0.38895714,0.14479831,0.72712106,0.73318565,0.75053662,0.75636154,0.79147619,0.12625611,0.069230974,0.092389159,0.11857999,0.59354371,0.09729947900000001,0.08507829199999999,0.08137662,0.1398357,0.59640992,0.089966848,0.068044662,0.078124359,0.15957586,0.60428822,0.086701795,0.063343786,0.088198006,0.13729213,0.62446427,0.07372324200000001,0.060750075,0.063124895,0.10374215,0.69865966,0.10356522,0.09256851699999999,0.11017832,0.11535002,0.16729659,0.46393302,0.51610512,0.53857315,0.56259471,0.61226285,0.0,0.0
17,17,rice university,52895,4076,3604.0,2.0,2.0,Other elite schools (public and private),1.0,3.0,TX,32000.0,Houston,48201.0,Harris,0.0,632.0,0.47732067,0.59838897,0.01603426,0.0026360333,238987.47327432802,149200.0,0.796575329317574,0.032903127000000004,0.055400196,0.09819036699999999,0.14332509,0.67018121,0.49794987,0.31509456,0.071944341,0.0044828485999999996,0.77382523,110518.082418579,76700.0,81600.0,0.06294411400000001,0.070985422,0.074024767,0.07617265,0.13217261,0.64664453,0.49849883,0.37363374,0.16690169,0.70700586,0.80773437,0.78314668,0.73538655,0.78115749,0.15200138,0.050962139000000004,0.09253369300000001,0.21718557,0.48731720000000006,0.045218136,0.043330215,0.071999937,0.16655499,0.67289674,0.040150709,0.077060573,0.08062724,0.16660434,0.63555712,0.08335574,0.092569441,0.089602068,0.18642382,0.54804891,0.071010083,0.073283643,0.072189651,0.10850974,0.67500687,0.08011497599999999,0.15188324,0.16657756,0.13307267,0.17968622,0.53150928,0.55284202,0.61610234,0.55011141,0.61316699,0.0,0.0
18,19,university of notre dame,58843,8874,1840.0,2.0,2.0,Other elite schools (public and private),1.0,2.0,IN,13600.0,South Bend,18141.0,St Joseph,0.0,1940.33333333333,0.46675828,0.6753,0.0089727286,0.001743529,331770.915505283,165400.0,0.840557653507484,0.014379558999999998,0.034294952000000004,0.067018472,0.15958732,0.72471964,0.55790645,0.38491514,0.10973148,0.012209155,0.78348374,111395.214129069,78800.0,84200.0,0.071105421,0.076928161,0.05212388900000001,0.063563168,0.13726205,0.67012268,0.50950325,0.36723471,0.13185537,0.75670558,0.73991269,0.75013101,0.78444451,0.78894967,0.091625452,0.031427946,0.10846337,0.14449129,0.62399191,0.08974985,0.06179186,0.11021639999999999,0.15003301,0.58820885,0.09062571800000001,0.071392022,0.063625954,0.16790469,0.60645163,0.067325339,0.05823972400000001,0.053388696,0.16504313,0.65600306,0.076877721,0.048948463,0.06269923599999999,0.12756303,0.68391156,0.12125052,0.065494865,0.094817519,0.09014544599999999,0.14781593,0.55432206,0.52278453,0.61926901,0.6508559,0.6954819,0.0,0.0
19,20,university of california los angeles,43022,31636,1315.0,1.0,2.0,Other elite schools (public and private),1.0,4.0,CA,38300.0,Los Angeles,6037.0,Los Angeles,0.0,4734.0,0.56020278,0.50893259,0.055962522,0.0045069409999999996,171784.80110415802,105500.0,0.670381697453742,0.10242689,0.12514769999999997,0.13295248,0.1619405,0.47753245,0.33184904,0.19321375,0.036824387,0.0037054855,0.72379512,82856.58800532059,65800.0,71700.0,0.094866559,0.10246139,0.08919611599999999,0.076875128,0.14153989,0.58992743,0.41298926,0.27409267,0.08160295299999999,0.69392639,0.7097640000000001,0.71184951,0.71336079,0.74074316,0.11936843,0.10771213,0.080813266,0.14574057,0.54636556,0.10730601,0.090093046,0.08980072300000001,0.16157652,0.55122375,0.099107534,0.10188728,0.08086520400000001,0.16020177,0.55793816,0.1011105,0.10113445,0.077428482,0.14316438,0.57716221,0.09895721099999999,0.077407591,0.071344443,0.12964119,0.62264955,0.044001542000000005,0.058540009000000004,0.06413032099999999,0.07792576400000001,0.10182396,0.44298863,0.45022455,0.46683949,0.5051111,0.55147809,0.0,0.0
